price,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,distance,newDevelopment,hasLift,priceByArea,newDevelopmentFinished
2600.0,flat,rent,150.0,4,3,Barcelona,Barcelona,Eixample,es,770.0,False,True,17.0,
3300.0,flat,rent,160.0,4,3,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,3025.0,False,True,21.0,
1475.0,flat,rent,45.0,1,1,Barcelona,Barcelona,Eixample,es,1272.0,False,True,33.0,
2385.0,flat,rent,45.0,1,1,Barcelona,Barcelona,Eixample,es,1585.0,False,True,53.0,
1100.0,flat,rent,41.0,2,1,Barcelona,Barcelona,Sant Martí,es,2251.0,False,False,27.0,
1000.0,flat,rent,64.0,2,1,Barcelona,Barcelona,Horta Guinardó,es,5141.0,False,True,16.0,
1000.0,flat,rent,65.0,1,1,Barcelona,Barcelona,Gràcia,es,2327.0,False,False,15.0,
4100.0,flat,rent,238.0,4,4,Barcelona,Barcelona,Les Corts,es,3713.0,False,True,17.0,
1350.0,penthouse,rent,60.0,2,1,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,3279.0,False,True,23.0,
2500.0,flat,rent,90.0,2,2,Barcelona,Barcelona,Eixample,es,647.0,False,True,28.0,
1400.0,flat,rent,78.0,2,2,Barcelona,Barcelona,Les Corts,es,2436.0,False,True,18.0,
990.0,flat,rent,75.0,1,1,Barcelona,Sant Cugat del Vallès,Sant Francesc-El Coll,es,12235.0,False,True,13.0,
875.0,flat,rent,77.0,2,1,Barcelona,Sabadell,Centre,es,18369.0,False,True,11.0,
990.0,flat,rent,72.0,2,1,Barcelona,Cornellà de Llobregat,La Gavarra,es,8295.0,False,False,14.0,
860.0,flat,rent,76.0,3,1,Barcelona,Barcelona,Sant Andreu,es,7521.0,False,False,11.0,
1475.0,flat,rent,90.0,3,2,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,3541.0,False,True,16.0,
864.0,flat,rent,81.0,2,1,Barcelona,Sabadell,Centre,es,18514.0,False,True,11.0,
2400.0,flat,rent,60.0,1,1,Barcelona,Barcelona,Ciutat Vella,es,704.0,False,True,40.0,
3500.0,flat,rent,195.0,3,3,Barcelona,Barcelona,Eixample,es,623.0,False,True,18.0,
3500.0,flat,rent,50.0,1,1,Barcelona,Barcelona,Eixample,es,973.0,False,True,70.0,
1575.0,flat,rent,85.0,3,2,Barcelona,Barcelona,Eixample,es,2585.0,False,True,19.0,
700.0,studio,rent,40.0,0,1,Barcelona,Barcelona,Gràcia,es,3208.0,False,True,18.0,
3000.0,penthouse,rent,144.0,3,2,Barcelona,Barcelona,Horta Guinardó,es,3596.0,False,True,21.0,
2500.0,flat,rent,162.0,4,2,Barcelona,Sant Cugat del Vallès,Eixample,es,11332.0,False,True,15.0,
1300.0,flat,rent,66.0,3,2,Barcelona,Barcelona,Ciutat Vella,es,549.0,False,True,20.0,
880.0,flat,rent,70.0,4,1,Barcelona,Rubí,Can Alzamora - Les Torres - 25 de Setembre,es,15985.0,False,False,13.0,
2000.0,flat,rent,95.0,3,2,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,2534.0,False,True,21.0,
1600.0,flat,rent,105.0,3,2,Barcelona,Barcelona,Horta Guinardó,es,2990.0,False,True,15.0,
1200.0,flat,rent,55.0,3,1,Barcelona,Esplugues de Llobregat,El Gall,es,7610.0,False,True,22.0,
1200.0,flat,rent,56.0,2,1,Barcelona,Barcelona,Horta Guinardó,es,2860.0,False,False,21.0,
1500.0,flat,rent,130.0,4,2,Barcelona,Barcelona,Horta Guinardó,es,3352.0,False,True,12.0,
2350.0,flat,rent,72.0,2,1,Barcelona,Barcelona,Ciutat Vella,es,810.0,False,False,33.0,
3500.0,flat,rent,50.0,1,1,Barcelona,Barcelona,Eixample,es,977.0,False,True,70.0,
3000.0,flat,rent,75.0,1,1,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,4486.0,False,True,40.0,
1360.0,flat,rent,111.0,3,2,Barcelona,Barcelona,Les Corts,es,3744.0,False,True,12.0,
1300.0,flat,rent,83.0,2,1,Barcelona,Barcelona,Eixample,es,1272.0,False,False,16.0,
2773.0,flat,rent,96.0,2,2,Barcelona,Barcelona,Les Corts,es,5139.0,False,True,29.0,
1500.0,penthouse,rent,142.0,2,1,Barcelona,Barcelona,Ciutat Vella,es,588.0,False,False,11.0,
1736.0,flat,rent,82.0,2,2,Barcelona,Barcelona,Sant Martí,es,3579.0,False,True,21.0,
900.0,penthouse,rent,51.0,2,1,Barcelona,El Prat de Llobregat,Centre,es,8940.0,False,True,18.0,
1400.0,flat,rent,69.0,2,2,Barcelona,Barcelona,Sants-Montjuïc,es,3570.0,False,True,20.0,
1500.0,duplex,rent,115.0,4,2,Barcelona,Barcelona,Sant Martí,es,4996.0,False,True,13.0,
900.0,flat,rent,45.0,2,1,Barcelona,Barcelona,Sants-Montjuïc,es,3495.0,False,False,20.0,
1400.0,flat,rent,78.0,1,1,Barcelona,Barcelona,Eixample,es,2577.0,False,True,18.0,
1900.0,flat,rent,100.0,4,2,Barcelona,Barcelona,Eixample,es,1985.0,False,True,19.0,
3500.0,duplex,rent,180.0,3,3,Barcelona,Barcelona,Ciutat Vella,es,258.0,False,True,19.0,
900.0,flat,rent,50.0,2,1,Barcelona,Barcelona,Sants-Montjuïc,es,3576.0,False,False,18.0,
2400.0,flat,rent,126.0,4,2,Barcelona,Badalona,Port,es,7985.0,False,True,19.0,
1550.0,penthouse,rent,82.0,3,1,Barcelona,Barcelona,Les Corts,es,2658.0,False,True,19.0,
900.0,flat,rent,75.0,2,1,Barcelona,Montgat,,es,12181.0,False,False,12.0,
875.0,flat,rent,42.0,2,1,Barcelona,Barcelona,Les Corts,es,3074.0,False,False,21.0,
4100.0,flat,rent,209.0,3,2,Barcelona,Barcelona,Les Corts,es,3195.0,False,True,20.0,
2700.0,flat,rent,140.0,2,2,Barcelona,Barcelona,Eixample,es,1225.0,False,True,19.0,
2400.0,flat,rent,174.0,4,3,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,3567.0,False,True,14.0,
2100.0,flat,rent,50.0,1,1,Barcelona,Barcelona,Ciutat Vella,es,1147.0,False,True,42.0,
2500.0,flat,rent,64.0,2,1,Barcelona,Barcelona,Sant Martí,es,2923.0,False,True,39.0,
1800.0,flat,rent,75.0,3,2,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,2185.0,False,False,24.0,
3600.0,flat,rent,203.0,4,2,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,4140.0,False,True,18.0,
2500.0,flat,rent,107.0,2,2,Barcelona,Barcelona,Eixample,es,1560.0,False,True,23.0,
1200.0,penthouse,rent,65.0,2,1,Barcelona,Hospitalet de Llobregat,La Torrasa,es,4364.0,False,False,18.0,
1895.0,flat,rent,50.0,1,1,Barcelona,Barcelona,Ciutat Vella,es,714.0,False,False,38.0,
4350.0,flat,rent,72.0,2,1,Barcelona,Barcelona,Eixample,es,1939.0,False,False,60.0,
1645.0,flat,rent,50.0,1,1,Barcelona,Barcelona,Ciutat Vella,es,512.0,False,False,33.0,
5250.0,flat,rent,298.0,4,3,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,3107.0,False,True,18.0,
1100.0,flat,rent,45.0,1,1,Barcelona,Barcelona,Sants-Montjuïc,es,3240.0,False,True,24.0,
3350.0,flat,rent,47.0,1,1,Barcelona,Barcelona,Eixample,es,999.0,False,True,71.0,
2000.0,flat,rent,110.0,3,1,Barcelona,Barcelona,Gràcia,es,2165.0,False,True,18.0,
6725.0,flat,rent,170.0,4,3,Barcelona,Esplugues de Llobregat,Finestrelles,es,6644.0,False,True,40.0,
4500.0,flat,rent,114.0,3,2,Barcelona,Esplugues de Llobregat,Finestrelles,es,6435.0,False,True,39.0,
2000.0,penthouse,rent,100.0,3,2,Barcelona,Barcelona,Eixample,es,1255.0,False,True,20.0,
